Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4, D5",LED_D3.0mm,5,LED,
J1,PinSocket_1x02_P2.54mm_Vertical,1,PowerSocket,
"R1, R2, R3, R4, R5",0603,5,100,
