Designator,Mid X,Mid Y,Rotation,Layer
D1,165.1,-80.01,90.0,top
D2,157.48,-80.01,90.0,top
D3,149.86,-80.01,90.0,top
D4,142.24,-80.01,90.0,top
D5,134.62,-80.01,90.0,top
J1,173.99,-81.28,90.0,top
R1,168.91,-77.915,270.0,top
R2,161.29,-77.915,270.0,top
R3,153.67,-77.915,270.0,top
R4,146.05,-77.915,270.0,top
R5,138.43,-77.915,270.0,top
